order_id,customer_id,order_date,order_time,Location,base_item,Protein,dip_1,dip_2,Topping_1,topping_2,topping_3,Dressing,meal_format,calories,Protein_g,carbs_g,fat_g,Fiber_g,Sodium_mg,price,rating,delivery_platform,order_type
1001,C001,2024-01-08,12:34,DC - Logan Circle,Saffron Basmati Rice,Grilled Chicken,Hummus,Tzatziki,Tomato + Cucumber,Pickled Onions,,Lemon Herb Tahini,Bowl,620,47,71,15,4,1810,14.50,5,none,dine-in
1002,C002,2024-01-08,13:05,DC - Logan Circle,supergreens,Falafel,Hummus,Crazy Feta,Cabbage Slaw,Pickled Onions,Avocado,Lemon Herb Tahini,Bowl,710,18,55,48,16,1430,15.25,4,,dine-in
1003,C003,2024-01-09,11:50,MD - Bethesda,Brown Rice,Braised Lamb,Red Pepper Hummus,,Persian Cucumber,Tomato + Cucumber,Feta,Greek Vinaigrette,Bowl,810,38,62,38,9,1980,16.00,5,none,dine-in
1004,C004,2024-01-09,18:22,VA - Arlington,Saffron Basmati Rice,Harissa Honey Chicken,Harissa,Tzatziki,Corn,Pickled Onions,Broccoli,Garlic Dressing,Bowl,850,36,82,32,5,1940,14.75,,uber eats,delivery
1005,C005,2024-01-10,12:15,DC - Capitol Hill,Pita,Grilled Chicken,Hummus,,Tomato + Cucumber,Cabbage Slaw,,Lemon Herb Tahini,Pita,870,48,69,45,12,2560,13.50,4,none,dine-in
1006,C006,2024-01-10,13:30,DC - Logan Circle,Black Lentils,Spicy Lamb,Crazy Feta,Harissa,Pickled Onions,Avocado,,Skhug,Bowl,820,43,49,52,17,1780,15.75,3,none,dine-in
1007,C002,2024-01-12,12:00,DC - Logan Circle,SUPERGREENS,Falafel,Hummus,Crazy Feta,Cabbage Slaw,Pickled Onions,Avocado,Lemon Herb Tahini,Bowl,710,18,55,48,16,1430,15.25,5,none,dine-in
1008,C007,2024-01-12,19:45,MD - Bethesda,saffron basmati rice,Grilled Steak,Harissa,Red Pepper Hummus,Tomato + Cucumber,Corn,Feta,Garlic Dressing,Bowl,910,42,75,42,6,2100,16.50,4,doordash,delivery
1009,C008,2024-01-13,12:30,VA - Arlington,Brown Rice,Grilled Chicken,Tzatziki,,Persian Cucumber,Pickled Onions,,Lemon Herb Tahini,Bowl,680,44,68,18,7,1650,14.50,5,none,dine-in
1010,C009,2024-01-13,13:15,DC - Capitol Hill,Pita,FALAFEL,Hummus,Crazy Feta,Cabbage Slaw,Pickled Onions,Avocado,Green Goddess Ranch,Pita,960,22,88,56,18,2210,14.25,2,none,dine-in
1011,C010,2024-01-14,12:45,DC - Logan Circle,Black Lentils,grilled chicken,Hummus,,Tomato + Cucumber,Persian Cucumber,Broccoli,Lemon Herb Tahini,Bowl,590,47,57,15,17,1560,14.75,5,none,dine-in
1012,C011,2024-01-14,18:00,MD - Bethesda,Saffron Basmati Rice,Harissa Honey Chicken,Harissa,,Corn,Pickled Onions,,Garlic Dressing,Bowl,880,34,80,34,4,1920,14.75,4,uber eats,delivery
1013,C012,2024-01-15,11:30,VA - Arlington,Supergreens,Grilled Steak,Crazy Feta,Hummus,Feta,Pickled Onions,Tomato + Cucumber,Greek Vinaigrette,Bowl,640,40,22,39,8,1740,15.25,5,none,dine-in
1014,C013,2024-01-15,12:15,DC - Capitol Hill,Pita,Braised Lamb,Harissa,Tzatziki,Persian Cucumber,Cabbage Slaw,,Skhug,Pita,940,35,71,48,10,2350,15.50,4,none,dine-in
1015,C001,2024-01-16,13:00,DC - Logan Circle,Saffron Basmati Rice,Grilled Chicken,Hummus,Tzatziki,Tomato + Cucumber,Pickled Onions,,Lemon Herb Tahini,Bowl,620,47,71,15,4,1810,14.50,5,none,dine-in
1016,C014,2024-01-16,12:30,MD - Bethesda,Brown rice,GRILLED CHICKEN,hummus,,tomato + cucumber,persian cucumber,broccoli,lemon herb tahini,Bowl,680,44,68,18,7,1650,14.50,3,none,dine-in
1017,C015,2024-01-17,19:15,VA - Arlington,Black Lentils,Spicy Lamb,Crazy Feta,,Avocado,Pickled Onions,,Skhug,Bowl,780,38,44,48,15,1590,15.75,5,doordash,delivery
1018,C016,2024-01-17,12:00,DC - Capitol Hill,Supergreens,Falafel,Hummus,Red Pepper Hummus,Cabbage Slaw,Corn,,Green Goddess Ranch,Bowl,560,16,48,32,14,1320,14.25,4,none,dine-in
1019,C017,2024-01-18,13:30,DC - Logan Circle,saffron basmati rice,Harissa Honey Chicken,Harissa,Tzatziki,Corn,Pickled Onions,Feta,Garlic Dressing,Bowl,900,36,86,38,5,2050,14.75,4,uber eats,delivery
1020,C018,2024-01-18,12:15,MD - Bethesda,Pita,grilled steak,Harissa,Hummus,Tomato + Cucumber,Feta,,Greek Vinaigrette,Pita,820,44,68,42,9,1800,15.50,5,none,dine-in
1021,C019,2024-01-19,11:45,VA - Arlington,Brown Rice,Braised Lamb,Crazy Feta,Tzatziki,Pickled Onions,Persian Cucumber,Broccoli,Skhug,Bowl,850,38,64,44,9,2020,16.00,,none,dine-in
1022,C020,2024-01-19,18:30,DC - Capitol Hill,supergreens,Grilled Chicken,Hummus,,Tomato + Cucumber,Cabbage Slaw,,Lemon Herb Tahini,Bowl,490,38,24,22,8,1340,13.75,4,none,dine-in
1023,C003,2024-01-20,12:45,MD - Bethesda,Brown Rice,Braised Lamb,Red Pepper Hummus,,Persian Cucumber,Tomato + Cucumber,Feta,Greek Vinaigrette,Bowl,810,38,62,38,9,1980,16.00,5,none,dine-in
